"";"Rk";"Player";"Age";"Pos";"Tm";"G";"GS";"MP";"FG";"FGA";"FG.";"T3P";"T3PA";"T3P.";"T2P";"T2PA";"T2P.";"eFG.";"FT";"FTA";"FT.";"ORB";"DRB";"TRB";"AST";"STL";"BLK";"TOV";"PF";"PTS";"FP";"FPM"
"345";345;"Georgios Papagiannis";19;"C";"SAC";22;0;355;56;102;0,549019607843137;0;2;0;56;100;0,56;0,549019607843137;12;14;0,857142857142857;24;62;86;20;3;17;24;44;124;230;0,647887323943662
"346";346;"Jabari Parker";21;"PF";"MIL";51;50;1728;399;814;0,49017199017199;65;178;0,365168539325843;334;636;0,525157232704403;0,53009828009828;162;218;0,743119266055046;79;235;314;142;50;22;93;111;1025;1385;0,80150462962963
"347";347;"Tony Parker";34;"PG";"SAS";63;63;1587;265;569;0,46572934973638;23;69;0,333333333333333;242;500;0,484;0,485940246045694;85;117;0,726495726495726;9;104;113;285;34;2;89;92;638;1051,5;0,662570888468809
"348";348;"Chandler Parsons";28;"SF";"MEM";34;34;675;75;222;0,337837837837838;25;93;0,268817204301075;50;129;0,387596899224806;0,394144144144144;35;43;0,813953488372093;6;78;84;55;20;5;24;52;210;331,5;0,491111111111111
"349";349;"Lamar Patterson";25;"SG";"ATL";5;0;40;3;15;0,2;1;6;0,166666666666667;2;9;0,222222222222222;0,233333333333333;2;3;0,666666666666667;1;6;7;6;1;0;4;6;9;16;0,4
"350";350;"Patrick Patterson";27;"PF";"TOR";65;8;1599;154;384;0,401041666666667;94;253;0,371541501976285;60;131;0,458015267175573;0,5234375;43;60;0,716666666666667;62;231;293;76;40;23;38;120;445;847,5;0,530018761726079
"351";351;"Chris Paul";31;"PG";"LAC";61;61;1921;374;785;0,476433121019108;124;302;0,410596026490066;250;483;0,5175983436853;0,555414012738853;232;260;0,892307692307692;40;264;304;563;119;8;147;146;1104;2294,5;1,19442998438313
"352";352;"Adreian Payne";25;"PF";"MIN";18;0;135;23;54;0,425925925925926;3;15;0,2;20;39;0,512820512820513;0,453703703703704;14;19;0,736842105263158;9;24;33;7;8;7;8;32;63;110,5;0,818518518518519
"353";353;"Cameron Payne";22;"PG";"OKC, CHI";31;0;462;64;193;0,33160621761658;27;86;0,313953488372093;37;107;0,345794392523364;0,401554404145078;5;8;0,625;3;45;48;55;14;4;29;52;160;231,5;0,501082251082251
"354";354;"Elfrid Payton";22;"PG";"ORL";82;58;2412;430;912;0,471491228070175;40;146;0,273972602739726;390;766;0,509138381201044;0,493421052631579;146;211;0,691943127962085;89;298;387;529;88;40;178;177;1046;2162;0,896351575456053
"355";355;"Gary Payton";24;"PG";"MIL";6;0;99;8;22;0,363636363636364;1;9;0,111111111111111;7;13;0,538461538461538;0,386363636363636;3;5;0,6;0;12;12;13;3;4;10;9;20;44;0,444444444444444
"356";356;"Paul Pierce";39;"SF";"LAC";25;7;277;28;70;0,4;15;43;0,348837209302326;13;27;0,481481481481481;0,507142857142857;10;13;0,769230769230769;1;47;48;10;4;5;16;40;81;113;0,407942238267148
"357";357;"Marshall Plumlee";24;"C";"NYK";21;1;170;16;30;0,533333333333333;0;0;NA;16;30;0,533333333333333;0,533333333333333;8;19;0,421052631578947;23;28;51;10;4;4;12;23;40;102;0,6
"358";358;"Mason Plumlee";26;"C";"POR, DEN";81;64;2148;334;623;0,536115569823435;0;6;0;334;617;0,541329011345219;0,536115569823435;174;300;0,58;170;435;605;284;69;92;134;226;842;1946,5;0,906191806331471
"359";359;"Miles Plumlee";28;"C";"MIL, CHO";45;12;484;44;92;0,478260869565217;0;0;NA;44;92;0,478260869565217;0,478260869565217;25;39;0,641025641025641;38;57;95;21;18;13;30;73;113;240;0,495867768595041
"360";360;"Jakob Poeltl";21;"C";"TOR";54;4;626;67;115;0,582608695652174;0;0;NA;67;115;0,582608695652174;0,582608695652174;31;57;0,543859649122807;78;87;165;12;17;20;29;113;165;372;0,594249201277955
"361";361;"Otto Porter";23;"SF";"WAS";80;80;2605;414;803;0,515566625155666;148;341;0,434017595307918;266;462;0,575757575757576;0,60772104607721;99;119;0,831932773109244;118;396;514;121;116;42;44;193;1075;1913,5;0,734548944337812
"362";362;"Bobby Portis";21;"PF";"CHI";64;13;1000;183;375;0,488;32;96;0,333333333333333;151;279;0,541218637992832;0,530666666666667;39;59;0,661016949152542;75;221;296;35;16;11;37;94;437;714,5;0,7145
"363";363;"Kristaps Porzingis";21;"PF";"NYK";66;65;2164;443;985;0,449746192893401;112;314;0,356687898089172;331;671;0,493293591654247;0,506598984771574;198;252;0,785714285714286;111;364;475;97;47;129;118;244;1196;1738,5;0,803373382624769
"364";364;"Dwight Powell";25;"C";"DAL";77;3;1333;194;377;0,514588859416446;21;74;0,283783783783784;173;303;0,570957095709571;0,542440318302387;107;141;0,75886524822695;93;213;306;49;61;39;34;135;516;990;0,742685671417854
"365";365;"Norman Powell";23;"SG";"TOR";76;18;1368;227;506;0,448616600790514;56;173;0,323699421965318;171;333;0,513513513513513;0,50395256916996;126;159;0,792452830188679;26;143;169;82;52;14;70;127;636;818;0,597953216374269
"366";366;"Alex Poythress";23;"PF";"PHI";6;1;157;25;54;0,462962962962963;6;19;0,315789473684211;19;35;0,542857142857143;0,518518518518518;8;10;0,8;11;18;29;5;3;2;3;14;64;97;0,617834394904459
"367";367;"Ronnie Price";33;"PG";"PHO";14;0;134;4;24;0,166666666666667;3;17;0,176470588235294;1;7;0,142857142857143;0,229166666666667;3;4;0,75;3;8;11;18;11;1;3;14;14;70;0,522388059701492
"368";368;"Tim Quarterman";22;"SG";"POR";16;0;80;13;29;0,448275862068966;5;13;0,384615384615385;8;16;0,5;0,53448275862069;0;3;0;4;10;14;11;2;3;11;6;31;47,5;0,59375
"369";369;"Chasson Randle";23;"PG";"PHI, NYK";26;0;299;40;98;0,408163265306122;16;47;0,340425531914894;24;51;0,470588235294118;0,489795918367347;41;43;0,953488372093023;6;26;32;34;9;2;19;39;137;194;0,648829431438127
"370";370;"Julius Randle";22;"PF";"LAL";74;73;2132;377;773;0,48771021992238;17;63;0,26984126984127;360;710;0,507042253521127;0,498706338939198;204;282;0,723404255319149;150;486;636;264;49;37;173;248;975;1803;0,845684803001876
"371";371;"Zach Randolph";35;"PF";"MEM";73;5;1786;433;964;0,449170124481328;21;94;0,223404255319149;412;870;0,473563218390805;0,4600622406639;141;193;0,730569948186529;182;416;598;122;38;10;99;136;1028;1567,5;0,877659574468085
"372";372;"J.J. Redick";32;"SG";"LAC";78;78;2198;396;890;0,444943820224719;201;468;0,429487179487179;195;422;0,462085308056872;0,557865168539326;180;202;0,891089108910891;11;160;171;110;54;13;98;125;1173;1249,5;0,568471337579618
"373";373;"Willie Reed";26;"C";"MIA";71;5;1031;162;285;0,568421052631579;1;4;0,25;161;281;0,572953736654804;0,570175438596491;49;88;0,556818181818182;129;203;332;26;18;47;31;137;374;809,5;0,785160038797284
"374";374;"Josh Richardson";23;"SG";"MIA";53;34;1614;202;513;0,393762183235867;75;227;0,330396475770925;127;286;0,444055944055944;0,466861598440546;60;77;0,779220779220779;35;133;168;140;60;39;65;132;539;908,5;0,562887236679058
"375";375;"Malachi Richardson";21;"SG";"SAC";22;0;198;28;68;0,411764705882353;8;28;0,285714285714286;20;40;0,5;0,470588235294118;15;19;0,789473684210526;3;20;23;11;5;1;8;23;79;99,5;0,502525252525252
"376";376;"Austin Rivers";24;"SG";"LAC";74;29;2054;323;731;0,441860465116279;111;299;0,37123745819398;212;432;0,490740740740741;0,517783857729138;132;191;0,691099476439791;20;141;161;204;48;10;115;187;889;1120,5;0,545520934761441
"377";377;"Andre Roberson";25;"SF";"OKC";79;79;2376;215;463;0,464362850971922;45;184;0,244565217391304;170;279;0,609318996415771;0,512958963282937;47;111;0,423423423423423;98;305;403;79;94;79;51;204;522;1220;0,513468013468014
"378";378;"Brian Roberts";31;"PG";"CHO";41;2;416;46;122;0,377049180327869;17;44;0,386363636363636;29;78;0,371794871794872;0,44672131147541;33;39;0,846153846153846;5;34;39;52;9;1;26;18;142;214,5;0,515625
"379";379;"Glenn Robinson";23;"SF";"IND";69;27;1427;158;338;0,467455621301775;49;125;0,392;109;213;0,511737089201878;0,539940828402367;54;76;0,710526315789474;57;189;246;47;41;20;37;63;419;734,5;0,514716187806587
"380";380;"Thomas Robinson";25;"PF";"LAL";48;1;560;105;196;0,535714285714286;0;1;0;105;195;0,538461538461538;0,535714285714286;31;66;0,46969696969697;84;139;223;31;26;9;46;76;241;483;0,8625
"381";381;"Sergio Rodriguez";30;"PG";"PHI";68;30;1518;210;536;0,391791044776119;92;252;0,365079365079365;118;284;0,415492957746479;0,477611940298507;18;27;0,666666666666667;21;136;157;344;49;4;128;95;530;1068;0,703557312252964
"382";382;"Rajon Rondo";30;"PG";"CHI";69;42;1843;229;561;0,408199643493761;50;133;0,37593984962406;179;428;0,418224299065421;0,452762923351159;30;50;0,6;73;282;355;461;99;11;169;144;538;1557,5;0,84508952794357
"383";383;"Derrick Rose";28;"PG";"NYK";64;64;2082;460;977;0,470829068577277;13;60;0,216666666666667;447;917;0,487459105779716;0,477482088024565;221;253;0,873517786561265;66;180;246;283;44;17;147;84;1154;1552,5;0,745677233429395
"384";384;"Terrence Ross";25;"SF";"TOR, ORL";78;24;1955;326;746;0,436997319034853;142;391;0,363171355498721;184;355;0,51830985915493;0,532171581769437;64;77;0,831168831168831;18;188;206;88;87;33;68;143;858;1136,5;0,581329923273657
"385";385;"Terry Rozier";22;"PG";"BOS";74;0;1263;151;411;0,367396593673966;57;179;0,318435754189944;94;232;0,405172413793103;0,436739659367397;51;66;0,772727272727273;40;187;227;131;46;11;47;69;410;801,5;0,634600158353127
"386";386;"Ricky Rubio";26;"PG";"MIN";75;75;2469;261;650;0,401538461538462;60;196;0,306122448979592;201;454;0,44273127753304;0,447692307692308;254;285;0,891228070175439;68;237;305;682;128;10;195;202;836;2215;0,897124341838801
"387";387;"Damjan Rudez";30;"SF";"ORL";45;0;314;31;88;0,352272727272727;20;64;0,3125;11;24;0,458333333333333;0,465909090909091;0;0;NA;5;20;25;20;12;1;9;31;82;129;0,410828025477707
"388";388;"Brandon Rush";31;"SG";"MIN";47;33;1030;70;187;0,374331550802139;44;114;0,385964912280702;26;73;0,356164383561644;0,491978609625668;13;18;0,722222222222222;16;83;99;45;22;23;28;42;197;367;0,35631067961165
"389";389;"D'Angelo Russell";20;"PG";"LAL";63;60;1811;351;867;0,404844290657439;135;384;0,3515625;216;483;0,447204968944099;0,482698961937716;147;188;0,781914893617021;31;190;221;303;87;16;176;130;984;1402;0,774157923799006
"390";390;"Domantas Sabonis";20;"PF";"OKC";81;66;1632;192;481;0,399168399168399;51;159;0,320754716981132;141;322;0,437888198757764;0,452182952182952;44;67;0,656716417910448;46;242;288;82;39;32;83;200;479;774;0,474264705882353
"391";391;"Larry Sanders";28;"C";"CLE";5;0;13;1;4;0,25;0;0;NA;1;4;0,25;0,25;2;2;1;3;1;4;0;1;1;2;5;4;8;0,615384615384615
"392";392;"Dario Saric";22;"PF";"PHI";81;36;2129;381;927;0,411003236245955;106;341;0,310850439882698;275;586;0,469283276450512;0,468176914778857;172;220;0,781818181818182;112;401;513;182;57;30;183;162;1040;1484;0,697040864255519
"393";393;"Tomas Satoransky";25;"SG";"WAS";57;3;719;61;147;0,414965986394558;9;37;0,243243243243243;52;110;0,472727272727273;0,445578231292517;23;33;0,696969696969697;25;58;83;92;26;6;38;60;154;373,5;0,519471488178025
"394";394;"Dennis Schroder";23;"PG";"ATL";79;78;2485;548;1214;0,451400329489292;100;294;0,340136054421769;448;920;0,48695652173913;0,492586490939044;218;255;0,854901960784314;42;206;248;499;74;16;258;149;1414;1993,5;0,802213279678068
"395";395;"Luis Scola";36;"PF";"BRK";36;1;461;71;151;0,470198675496689;17;50;0,34;54;101;0,534653465346535;0,526490066225166;25;37;0,675675675675676;51;88;139;37;14;4;34;63;184;344,5;0,747288503253796
"396";396;"Mike Scott";28;"PF";"ATL";18;0;195;17;59;0,288135593220339;4;27;0,148148148148148;13;32;0,40625;0,322033898305085;7;8;0,875;10;27;37;17;4;3;8;12;45;97,5;0,5
"397";397;"Thabo Sefolosha";32;"SF";"ATL";62;42;1596;174;395;0,440506329113924;41;120;0,341666666666667;133;275;0,483636363636364;0,492405063291139;55;75;0,733333333333333;54;216;270;107;96;31;58;97;444;972,5;0,609335839598998
"398";398;"Wayne Selden";22;"SG";"NOP, MEM";14;5;236;25;58;0,431034482758621;7;28;0,25;18;30;0,6;0,491379310344828;14;22;0,636363636363636;1;15;16;13;6;1;12;18;71;83;0,351694915254237
"399";399;"Kevin Seraphin";27;"PF";"IND";49;3;559;109;198;0,55050505050505;0;2;0;109;196;0,556122448979592;0,55050505050505;14;22;0,636363636363636;41;101;142;23;7;20;29;66;232;388;0,694096601073345
"400";400;"Ramon Sessions";30;"PG";"CHO";50;1;811;100;263;0,380228136882129;21;62;0,338709677419355;79;201;0,393034825870647;0,420152091254753;91;118;0,771186440677966;11;62;73;129;27;3;46;43;312;521,5;0,643033292231813
"401";401;"Iman Shumpert";26;"SG";"CLE";76;31;1937;201;489;0,411042944785276;94;261;0,360153256704981;107;228;0,469298245614035;0,507157464212679;71;90;0,788888888888889;39;179;218;109;62;27;78;150;567;891;0,459989674754775
"402";402;"Pascal Siakam";22;"PF";"TOR";55;38;859;103;205;0,502439024390244;1;7;0,142857142857143;102;198;0,515151515151515;0,504878048780488;22;32;0,6875;64;121;185;17;26;45;33;109;229;500;0,582072176949942
"403";403;"Jonathon Simmons";27;"SG";"SAS";78;8;1392;177;421;0,420427553444181;30;102;0,294117647058824;147;319;0,460815047021944;0,456057007125891;99;132;0,75;20;140;160;126;47;25;76;146;483;758,5;0,544899425287356
"404";404;"Kyle Singler";28;"SF";"OKC";32;2;385;34;83;0,409638554216867;7;37;0,189189189189189;27;46;0,58695652173913;0,451807228915663;13;17;0,764705882352941;8;40;48;9;7;5;11;29;88;133,5;0,346753246753247
"405";405;"Marcus Smart";22;"SG";"BOS";79;24;2399;269;749;0,359145527369826;94;332;0,283132530120482;175;417;0,419664268585132;0,421895861148198;203;250;0,812;78;227;305;364;125;34;159;192;835;1643,5;0,685077115464777
"406";406;"Ish Smith";28;"PG";"DET";81;32;1955;329;749;0,439252336448598;28;105;0,266666666666667;301;644;0,467391304347826;0,457943925233645;72;102;0,705882352941177;21;214;235;418;61;33;112;127;758;1578,5;0,807416879795396
"407";407;"J.R. Smith";31;"SG";"CLE";41;35;1187;123;356;0,345505617977528;95;271;0,350553505535055;28;85;0,329411764705882;0,478932584269663;10;15;0,666666666666667;17;96;113;62;40;11;26;77;351;527,5;0,444397641112047
"408";408;"Jason Smith";30;"C";"WAS";74;3;1068;174;329;0,52887537993921;37;78;0,474358974358974;137;251;0,545816733067729;0,585106382978723;35;51;0,686274509803922;64;194;258;37;21;54;58;168;420;732,5;0,685861423220974
"409";409;"Tony Snell";25;"SG";"MIL";80;80;2336;246;541;0,454713493530499;144;355;0,405633802816901;102;186;0,548387096774194;0,587800369685767;47;58;0,810344827586207;22;226;248;96;55;14;55;125;683;1009;0,431934931506849
"410";410;"Marreese Speights";29;"C";"LAC";82;2;1286;244;548;0,445255474452555;103;277;0,371841155234657;141;271;0,520295202952029;0,539233576642336;120;137;0,875912408759124;88;285;373;65;23;41;69;229;711;1087,5;0,845645412130638
"411";411;"Tiago Splitter";32;"C";"PHI";8;0;76;14;31;0,451612903225806;2;6;0,333333333333333;12;25;0,48;0,483870967741935;9;11;0,818181818181818;8;14;22;4;1;1;6;8;39;55,5;0,730263157894737
"412";412;"Nik Stauskas";23;"SG";"PHI";80;27;2188;251;634;0,39589905362776;132;359;0,367688022284123;119;275;0,432727272727273;0,5;122;150;0,813333333333333;21;205;226;188;45;32;128;144;756;1061;0,48491773308958
"413";413;"Lance Stephenson";26;"SG";"NOP, MIN, IND";18;0;361;54;120;0,45;6;20;0,3;48;100;0,48;0,475;8;13;0,615384615384615;4;48;52;59;5;3;26;32;122;222,5;0,616343490304709
"414";414;"Jarnell Stokes";23;"C";"DEN";2;0;7;1;1;1;0;0;NA;1;1;1;1;1;2;0,5;1;1;2;2;1;0;0;3;3;11;1,57142857142857
"415";415;"Diamond Stone";19;"C";"LAC";7;0;24;3;13;0,230769230769231;0;0;NA;3;13;0,230769230769231;0,230769230769231;4;4;1;1;5;6;0;0;1;2;5;10;9,5;0,395833333333333
"416";416;"Rodney Stuckey";30;"PG";"IND";39;0;696;91;244;0,372950819672131;19;60;0,316666666666667;72;184;0,391304347826087;0,411885245901639;80;107;0,747663551401869;6;78;84;84;16;0;53;44;281;372;0,53448275862069
"417";417;"Jared Sullinger";24;"PF";"TOR";11;1;118;15;47;0,319148936170213;3;18;0,166666666666667;12;29;0,413793103448276;0,351063829787234;4;8;0,5;10;17;27;3;4;1;4;17;37;59;0,5
"418";418;"Edy Tavares";24;"C";"ATL, CLE";2;0;28;4;5;0,8;0;0;NA;4;5;0,8;0,8;0;3;0;4;7;11;1;0;6;2;3;8;29;1,03571428571429
"419";419;"Isaiah Taylor";22;"PG";"HOU";4;0;52;1;7;0,142857142857143;0;2;0;1;5;0,2;0,142857142857143;1;2;0,5;1;2;3;3;1;1;0;6;3;13;0,25
"420";420;"Jeff Teague";28;"PG";"IND";82;82;2657;402;909;0,442244224422442;90;252;0,357142857142857;312;657;0,474885844748858;0,491749174917492;360;415;0,867469879518072;33;297;330;639;100;32;216;165;1254;2429,5;0,914377117049304
"421";421;"Mirza Teletovic";31;"PF";"MIL";70;2;1133;156;418;0,373205741626794;104;305;0,340983606557377;52;113;0,460176991150442;0,497607655502392;35;45;0,777777777777778;11;151;162;48;12;13;37;109;451;554,5;0,489408649602824
"422";422;"Garrett Temple";30;"SG";"SAC";65;21;1728;183;432;0,423611111111111;82;220;0,372727272727273;101;212;0,476415094339623;0,518518518518518;58;74;0,783783783783784;32;152;184;168;84;28;78;141;506;977,5;0,56568287037037
"423";423;"Jason Terry";39;"SG";"MIL";74;0;1365;105;243;0,432098765432099;73;171;0,426900584795322;32;72;0,444444444444444;0,582304526748971;24;29;0,827586206896552;15;91;106;98;46;20;36;95;307;605;0,443223443223443
"424";424;"Isaiah Thomas";27;"PG";"BOS";76;76;2569;682;1473;0,463000678886626;245;646;0,379256965944272;437;827;0,528415961305925;0,546164290563476;590;649;0,909090909090909;43;162;205;448;70;13;210;167;2199;2642,5;1,02861035422343
"425";425;"Lance Thomas";28;"PF";"NYK";46;15;968;97;244;0,397540983606557;38;85;0,447058823529412;59;159;0,371069182389937;0,475409836065574;43;51;0,843137254901961;32;110;142;35;21;5;25;85;275;427,5;0,441632231404959
"426";426;"Hollis Thompson";25;"SG";"PHI, NOP";40;9;752;77;200;0,385;32;95;0,336842105263158;45;105;0,428571428571429;0,465;19;29;0,655172413793103;19;93;112;35;20;6;11;69;205;360;0,478723404255319
"427";427;"Klay Thompson";26;"SG";"GSW";78;78;2649;644;1376;0,468023255813953;268;647;0,414219474497682;376;729;0,515775034293553;0,565406976744186;186;218;0,853211009174312;49;236;285;160;66;40;128;139;1742;1945,5;0,734428086070215
"428";428;"Tristan Thompson";25;"C";"CLE";78;78;2336;262;437;0,59954233409611;0;3;0;262;434;0,603686635944701;0,59954233409611;106;213;0,497652582159624;286;429;715;77;39;84;64;176;630;1619;0,693065068493151
"429";429;"Marcus Thornton";29;"SG";"WAS";33;1;575;84;210;0,4;28;80;0,35;56;130;0,430769230769231;0,466666666666667;23;27;0,851851851851852;22;54;76;41;19;3;25;48;219;317;0,551304347826087
"430";430;"Mike Tobey";22;"C";"CHO";2;0;25;1;4;0,25;0;0;NA;1;4;0,25;0,25;0;0;NA;2;1;3;1;0;0;1;2;2;4,5;0,18
"431";431;"Anthony Tolliver";31;"PF";"SAC";65;9;1477;155;351;0,441595441595442;90;230;0,391304347826087;65;121;0,537190082644628;0,56980056980057;61;82;0,74390243902439;51;186;237;77;34;20;56;109;461;765;0,517941773865945
"432";432;"Axel Toupane";24;"SF";"MIL, NOP";4;0;47;5;9;0,555555555555556;1;4;0,25;4;5;0,8;0,611111111111111;0;0;NA;0;1;1;0;1;1;0;6;11;14;0,297872340425532
"433";433;"Karl-Anthony Towns";21;"C";"MIN";82;82;3030;802;1480;0,541891891891892;101;275;0,367272727272727;701;1205;0,581742738589212;0,576013513513513;356;428;0,831775700934579;296;711;1007;220;56;103;212;241;2061;3175;1,04785478547855
"434";434;"P.J. Tucker";31;"SF";"PHO, TOR";81;21;2236;199;482;0,412863070539419;70;196;0,357142857142857;129;286;0,451048951048951;0,485477178423237;72;93;0,774193548387097;117;354;471;99;116;19;66;196;540;1253,5;0,560599284436494
"435";435;"Evan Turner";28;"SF";"POR";65;12;1658;235;552;0,425724637681159;31;118;0,26271186440678;204;434;0,470046082949309;0,453804347826087;85;103;0,825242718446602;36;211;247;205;53;24;100;121;586;1047,5;0,631785283474065
"436";436;"Myles Turner";20;"C";"IND";81;81;2541;444;869;0,510932105868815;40;115;0,347826086956522;404;754;0,535809018567639;0,533947065592635;245;303;0,808580858085809;139;450;589;106;74;172;105;262;1173;2084;0,820149547422275
"437";437;"Beno Udrih";34;"PG";"DET";39;0;560;92;197;0,467005076142132;11;32;0,34375;81;165;0,490909090909091;0,49492385786802;32;34;0,941176470588235;6;51;57;131;13;0;36;29;227;449,5;0,802678571428571
"438";438;"Tyler Ulis";21;"PG";"PHO";61;15;1123;184;437;0,421052631578947;21;79;0,265822784810127;163;358;0,455307262569832;0,445080091533181;55;71;0,774647887323944;20;75;95;226;48;5;77;73;444;818,5;0,728851291184328
"439";439;"Jarrod Uthoff";23;"PF";"DAL";9;0;115;16;38;0,421052631578947;3;9;0,333333333333333;13;29;0,448275862068966;0,460526315789474;5;7;0,714285714285714;8;14;22;9;2;4;3;8;40;78;0,678260869565217
"440";440;"Jonas Valanciunas";24;"C";"TOR";80;80;2066;391;702;0,556980056980057;1;2;0,5;390;700;0,557142857142857;0,557692307692308;176;217;0,811059907834101;226;533;759;57;37;63;106;216;959;1757;0,850435624394966
"441";441;"Denzel Valentine";23;"SG";"CHI";57;0;976;102;288;0,354166666666667;73;208;0,350961538461538;29;80;0,3625;0,480902777777778;14;18;0,777777777777778;11;140;151;63;30;7;49;86;291;454,5;0,465676229508197
"442";442;"Fred VanVleet";22;"PG";"TOR";37;0;294;39;111;0,351351351351351;11;29;0,379310344827586;28;82;0,341463414634146;0,400900900900901;18;22;0,818181818181818;4;38;42;35;16;3;15;36;107;191;0,649659863945578
"443";443;"Anderson Varejao";34;"C";"GSW";14;1;92;5;14;0,357142857142857;0;0;NA;5;14;0,357142857142857;0,357142857142857;8;11;0,727272727272727;12;15;27;10;3;3;8;16;18;61;0,66304347826087
"444";444;"Greivis Vasquez";30;"PG";"BRK";3;0;39;2;8;0,25;1;3;0,333333333333333;1;5;0,2;0,3125;2;3;0,666666666666667;0;2;2;5;1;1;1;6;7;17,5;0,448717948717949
"445";445;"Rashad Vaughn";20;"SG";"MIL";41;2;458;57;156;0,365384615384615;26;81;0,320987654320988;31;75;0,413333333333333;0,448717948717949;2;5;0,4;4;45;49;23;19;10;14;32;142;218;0,475982532751092
"446";446;"Noah Vonleh";21;"PF";"POR";74;41;1265;130;270;0,481481481481481;7;20;0,35;123;250;0,492;0,494444444444444;60;94;0,638297872340426;131;256;387;31;30;27;64;154;327;740,5;0,585375494071146
"447";447;"Nikola Vucevic";26;"C";"ORL";75;55;2163;483;1031;0,468477206595538;23;75;0,306666666666667;460;956;0,481171548117155;0,479631425800194;107;160;0,66875;176;603;779;208;76;74;117;180;1096;2144,5;0,991447064262598
"448";448;"Sasha Vujacic";32;"SG";"NYK";42;4;408;42;136;0,308823529411765;23;74;0,310810810810811;19;62;0,306451612903226;0,393382352941176;17;24;0,708333333333333;12;47;59;52;13;2;16;38;124;240,5;0,589460784313726
"449";449;"Dwyane Wade";35;"SG";"CHI";60;59;1792;414;955;0,433507853403141;45;145;0,310344827586207;369;810;0,455555555555556;0,457068062827225;223;281;0,793594306049822;63;207;270;228;86;41;138;112;1096;1532;0,854910714285714
"450";450;"Dion Waiters";25;"SG";"MIA";46;43;1384;281;663;0,423831070889894;85;215;0,395348837209302;196;448;0,4375;0,487933634992459;82;127;0,645669291338583;18;135;153;200;42;20;103;95;729;995,5;0,719291907514451
"451";451;"Kemba Walker";26;"PG";"CHO";79;79;2739;643;1449;0,443754313319531;240;602;0,398671096345515;403;847;0,475796930342385;0,526570048309179;304;359;0,846796657381616;45;263;308;434;85;22;168;119;1830;2476;0,903979554581964
"452";452;"John Wall";26;"PG";"WAS";78;78;2836;647;1435;0,450871080139373;89;272;0,327205882352941;558;1163;0,479793637145314;0,481881533101045;422;527;0,800759013282732;59;267;326;831;157;49;322;151;1805;3144;1,10860366713681
"453";453;"Taurean Waller-Prince";22;"SF";"ATL";59;10;981;114;285;0,4;33;102;0,323529411764706;81;183;0,442622950819672;0,457894736842105;74;94;0,787234042553192;25;132;157;55;43;27;61;96;335;537;0,547400611620795
"454";454;"T.J. Warren";23;"SF";"PHO";66;59;2048;403;814;0,495085995085995;26;98;0,26530612244898;377;716;0,526536312849162;0,511056511056511;119;154;0,772727272727273;125;214;339;75;76;39;57;175;951;1395,5;0,681396484375
"455";455;"C.J. Watson";32;"PG";"ORL";62;9;1012;96;248;0,387096774193548;32;105;0,304761904761905;64;143;0,447552447552448;0,451612903225806;57;66;0,863636363636364;16;73;89;114;43;2;47;84;281;521,5;0,515316205533597
"456";456;"Briante Weber";24;"PG";"GSW, CHO";20;0;205;25;60;0,416666666666667;1;10;0,1;24;50;0,48;0,425;11;16;0,6875;8;18;26;21;12;1;8;16;62;124;0,604878048780488
"457";457;"David West";36;"C";"GSW";68;0;854;135;252;0,535714285714286;3;8;0,375;132;244;0,540983606557377;0,541666666666667;43;56;0,767857142857143;47;156;203;151;42;48;78;105;316;803,5;0,940866510538642
"458";458;"Russell Westbrook";28;"PG";"OKC";81;81;2802;824;1941;0,424523441524987;200;583;0,343053173241852;624;1358;0,459499263622975;0,476043276661515;710;840;0,845238095238095;137;727;864;840;132;31;438;190;2558;3997;1,42648108493933
"459";459;"Okaro White";24;"PF";"MIA";35;0;471;33;87;0,379310344827586;12;34;0,352941176470588;21;53;0,39622641509434;0,448275862068966;20;22;0,909090909090909;25;57;82;21;10;10;18;52;98;210,5;0,44692144373673
"460";460;"Isaiah Whitehead";21;"PG";"BRK";73;26;1643;204;508;0,401574803149606;44;149;0,295302013422819;160;359;0,445682451253482;0,44488188976378;91;113;0,805309734513274;32;152;184;192;42;36;142;175;543;836;0,508825319537431
"461";461;"Hassan Whiteside";27;"C";"MIA";77;77;2513;542;973;0,557040082219938;0;0;NA;542;973;0,557040082219938;0,557040082219938;225;358;0,628491620111732;293;795;1088;57;57;161;154;226;1309;2503,5;0,996219657779546
"462";462;"Andrew Wiggins";21;"SF";"MIN";82;82;3048;709;1570;0,451592356687898;103;289;0,356401384083045;606;1281;0,473067915690867;0,484394904458599;412;542;0,760147601476015;102;226;328;189;82;30;187;183;1933;2044,5;0,670767716535433
"463";463;"C.J. Wilcox";26;"SG";"ORL";22;0;108;8;31;0,258064516129032;3;15;0,2;5;16;0,3125;0,306451612903226;2;2;1;4;8;12;12;2;1;6;8;21;41,5;0,384259259259259
"464";464;"Alan Williams";24;"C";"PHO";47;0;708;138;267;0,51685393258427;0;1;0;138;266;0,518796992481203;0,51685393258427;70;112;0,625;94;198;292;23;27;32;37;125;346;689,5;0,973870056497175
"465";465;"Deron Williams";32;"PG";"DAL, CLE";64;44;1657;263;600;0,438333333333333;85;234;0,363247863247863;178;366;0,486338797814208;0,509166666666667;90;109;0,825688073394495;14;133;147;360;31;8;138;138;701;1199;0,723596861798431
