"";"Rk";"Player";"Age";"Pos";"Tm";"G";"GS";"MP";"FG";"FGA";"FG.";"T3P";"T3PA";"T3P.";"T2P";"T2PA";"T2P.";"eFG.";"FT";"FTA";"FT.";"ORB";"DRB";"TRB";"AST";"STL";"BLK";"TOV";"PF";"PTS";"FP";"FPM"
"328";328;"Joakim Noah";31;"C";"NYK";46;46;1015;99;202;0,49009900990099;0;1;0;99;201;0,492537313432836;0,49009900990099;34;78;0,435897435897436;162;241;403;103;30;37;58;127;232;866,5;0,853694581280788
"329";329;"Nerlens Noel";22;"C";"PHI, DAL";51;19;1047;184;309;0,59546925566343;0;1;0;184;308;0,597402597402597;0,59546925566343;77;111;0,693693693693694;93;201;294;50;65;50;51;126;445;934;0,89207258834766
"330";330;"Lucas Nogueira";24;"C";"TOR";57;6;1088;103;156;0,66025641025641;3;12;0,25;100;144;0,694444444444444;0,669871794871795;44;67;0,656716417910448;82;162;244;42;52;89;46;137;253;774;0,711397058823529
"331";331;"Steve Novak";33;"PF";"MIL";8;0;22;2;7;0,285714285714286;1;6;0,166666666666667;1;1;1;0,357142857142857;0;0;NA;0;3;3;0;0;0;0;1;5;5,5;0,25
"332";332;"Dirk Nowitzki";38;"PF";"DAL";54;54;1424;296;678;0,436578171091445;79;209;0,37799043062201;217;469;0,462686567164179;0,494837758112094;98;112;0,875;23;330;353;82;30;38;51;113;769;1133,5;0,795997191011236
"333";333;"Jusuf Nurkic";22;"C";"DEN, POR";65;48;1391;271;534;0,50749063670412;0;1;0;271;533;0,50844277673546;0,50749063670412;120;210;0,571428571428571;154;313;467;123;50;74;143;161;662;1237,5;0,889647735442128
"334";334;"David Nwaba";24;"SG";"LAL";20;2;397;47;81;0,580246913580247;1;5;0,2;46;76;0,605263157894737;0,58641975308642;25;39;0,641025641025641;17;46;63;14;13;7;11;36;120;213,5;0,537783375314861
"335";335;"Johnny O'Bryant";23;"PF";"DEN, CHO";11;0;80;15;30;0,5;3;6;0,5;12;24;0,5;0,55;5;6;0,833333333333333;9;10;19;6;0;1;6;10;38;55,5;0,69375
"336";336;"Kyle O'Quinn";26;"C";"NYK";79;8;1229;215;413;0,520581113801453;2;17;0,117647058823529;213;396;0,537878787878788;0,523002421307506;64;83;0,771084337349398;157;282;439;117;36;104;76;174;496;1267;1,03091944670464
"337";337;"Daniel Ochefu";23;"C";"WAS";19;0;75;12;27;0,444444444444444;0;0;NA;12;27;0,444444444444444;0,444444444444444;0;2;0;5;17;22;3;2;0;3;17;24;44;0,586666666666667
"338";338;"Jahlil Okafor";21;"C";"PHI";50;33;1134;242;471;0,51380042462845;0;0;NA;242;471;0,51380042462845;0,51380042462845;106;158;0,670886075949367;81;159;240;58;20;49;91;122;590;802;0,707231040564374
"339";339;"Victor Oladipo";24;"SG";"OKC";67;67;2222;412;932;0,44206008583691;127;352;0,360795454545455;285;580;0,491379310344828;0,51019313304721;116;154;0,753246753246753;39;252;291;176;78;21;119;155;1067;1410,5;0,634788478847885
"340";340;"Kelly Olynyk";25;"C";"BOS";75;6;1538;260;508;0,511811023622047;68;192;0,354166666666667;192;316;0,607594936708861;0,578740157480315;90;123;0,731707317073171;73;288;361;148;43;29;96;207;678;1183;0,769180754226268
"341";341;"Arinze Onuaku";29;"C";"ORL";8;0;28;2;4;0,5;0;0;NA;2;4;0,5;0,5;0;0;NA;2;4;6;2;0;1;2;3;4;12;0,428571428571429
"342";342;"Chinanu Onuaku";20;"C";"HOU";5;1;52;5;7;0,714285714285714;0;0;NA;5;7;0,714285714285714;0,714285714285714;4;4;1;2;8;10;3;3;1;4;6;14;30;0,576923076923077
"343";343;"Kelly Oubre";21;"SF";"WAS";79;5;1605;186;442;0,420814479638009;54;188;0,287234042553192;132;254;0,519685039370079;0,481900452488688;75;99;0,757575757575758;61;200;261;47;58;17;50;195;501;796,5;0,496261682242991
"344";344;"Zaza Pachulia";32;"C";"GSW";70;70;1268;164;307;0,534201954397394;0;2;0;164;305;0,537704918032787;0,534201954397394;98;126;0,777777777777778;140;270;410;132;59;33;87;166;426;1094,5;0,863170347003155
